shift,nps,strategy,safety,plasticity,stability,throughput,disturb_input,disturb_hidden_1,disturb_hidden_2,disturb_output,buffer_suggested,buffer_factor
1.4251,0.2307,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,0.9391,0.0211,100,1.0
0.308,0.7065,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8362,0.5957,0.8624,0.0952,101,1.02
1.7643,0.2117,High-Speed Parallel,low,0.9,0.25,0.95,0.8171,0.9071,0.9201,0.0118,100,1.0
1.1366,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,0.8266,0.4662,190,1.9
1.1006,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.7452,0.1639,High-Speed Parallel,low,0.9,0.25,0.95,0.7503,0.5917,0.1893,0.0174,100,1.0
1.4163,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,0.6278,190,1.9
1.3031,0.6665,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.9223,0.6821,0.2029,0.2812,100,1.0
1.109,0.4579,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.5246,1.0,0.6416,0.2841,100,1.0
0.7096,0.1193,High-Speed Parallel,low,0.9,0.25,0.95,0.8052,0.6121,0.1026,0.0214,100,1.0
0.0537,0.056,High-Speed Parallel,low,0.9,0.25,0.95,0.7247,0.2753,0.0928,0.0049,100,1.0
1.5825,0.8473,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9976,0.8929,0.5767,0.543,144,1.44
1.2147,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,0.6709,190,1.9
1.1352,0.3394,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.7788,1.0,0.0797,100,1.0
0.8602,0.0687,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.6333,0.0453,0.0059,100,1.0
0.7942,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.5997,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9956,0.9127,1.0,1.0,190,1.9
0.267,0.0292,High-Speed Parallel,low,0.9,0.25,0.95,0.5211,0.7251,0.5411,0.0052,100,1.0
1.1654,0.4202,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,0.9973,0.0688,100,1.0
0.2798,0.2256,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.9385,0.4212,0.0179,100,1.0
1.0151,0.5606,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,0.4847,0.1633,100,1.0
1.7869,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9996,1.0,1.0,190,1.9
1.2967,0.8371,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9385,1.0,0.8934,0.5997,141,1.41
1.6454,0.881,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.7917,0.8259,1.0,0.8521,154,1.54
0.9911,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9307,1.0,1.0,1.0,190,1.9
1.752,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.186,0.1678,High-Speed Parallel,low,0.9,0.25,0.95,0.8471,0.9088,0.4095,0.0014,100,1.0
1.5055,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.1916,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.0663,0.752,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.7941,0.7579,0.682,0.7137,115,1.16
0.9272,0.9147,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9106,0.6646,1.0,0.8685,164,1.64
1.5413,0.3454,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.6727,0.4485,0.5061,0.0611,100,1.0
0.1572,0.8259,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.16,0.1438,0.3696,1.0,137,1.38
0.088,0.0189,High-Speed Parallel,low,0.9,0.25,0.95,0.9715,0.5699,0.0842,0.0037,100,1.0
0.5922,0.6756,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,0.8964,0.0974,100,1.0
1.7332,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.0331,0.0789,High-Speed Parallel,low,0.9,0.25,0.95,0.687,0.3069,0.1367,0.0171,100,1.0
1.6373,0.7727,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8962,0.9299,0.6294,0.5321,121,1.22
1.4283,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9232,0.9176,1.0,1.0,190,1.9
0.2568,0.4279,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.5828,0.6037,0.3819,0.0946,100,1.0
1.6909,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9732,0.5238,1.0,190,1.9
1.7267,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.9868,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9188,1.0,1.0,190,1.9
1.7008,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9314,1.0,1.0,1.0,190,1.9
1.4155,0.3678,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.8071,0.6899,0.659,0.1504,100,1.0
1.2757,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9046,1.0,0.9252,190,1.9
1.528,0.145,High-Speed Parallel,low,0.9,0.25,0.95,0.9625,1.0,1.0,0.0041,100,1.0
0.8733,0.522,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.8086,0.7618,0.164,100,1.0
0.7594,0.6711,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.8778,0.5913,0.0596,100,1.0
0.5966,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8769,0.693,1.0,1.0,190,1.9
1.2607,0.8496,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,0.5936,0.1454,144,1.45
1.5805,0.3717,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.9795,0.5745,0.0757,100,1.0
1.4032,0.137,High-Speed Parallel,low,0.9,0.25,0.95,0.7872,0.3098,0.2162,0.026,100,1.0
0.934,0.2651,High-Speed Parallel,low,0.9,0.25,0.95,0.9515,0.7131,0.4282,0.0846,100,1.0
0.7616,0.9102,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9241,0.8379,0.8162,163,1.63
1.2099,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9943,1.0,1.0,1.0,190,1.9
1.2303,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.0898,0.0507,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.3541,0.1255,0.0092,100,1.0
1.5778,0.0962,High-Speed Parallel,low,0.9,0.25,0.95,0.8125,0.3504,0.2519,0.0117,100,1.0
0.1259,0.19,High-Speed Parallel,low,0.9,0.25,0.95,0.7057,0.4959,0.1301,0.0052,100,1.0
0.6803,0.2828,High-Speed Parallel,low,0.9,0.25,0.95,0.9892,1.0,1.0,0.018,100,1.0
1.0102,0.298,High-Speed Parallel,low,0.9,0.25,0.95,0.6646,0.5609,0.2886,0.0396,100,1.0
0.2875,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8781,1.0,1.0,1.0,190,1.9
0.1543,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9665,1.0,1.0,1.0,190,1.9
0.3676,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8164,1.0,1.0,1.0,190,1.9
0.6553,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9207,0.7963,1.0,1.0,190,1.9
0.3591,0.3422,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,0.5323,0.082,100,1.0
0.7656,0.6284,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.9541,0.6348,0.1657,100,1.0
1.5316,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.5516,0.8934,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9506,1.0,0.1771,158,1.58
0.451,0.5461,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.9013,0.6896,0.3167,100,1.0
1.0952,0.2157,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.6703,0.5464,0.0482,100,1.0
0.4615,0.3531,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.866,0.5951,0.0138,100,1.0
0.9392,0.0755,High-Speed Parallel,low,0.9,0.25,0.95,0.7932,0.3286,0.0754,0.0131,100,1.0
0.1254,0.0453,High-Speed Parallel,low,0.9,0.25,0.95,0.7829,0.4594,0.0328,0.0049,100,1.0
0.6965,0.1066,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.7011,0.2955,0.0105,100,1.0
0.4201,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.6964,0.9359,1.0,1.0,190,1.9
0.0983,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,0.9885,1.0,190,1.9
1.7354,0.8376,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.5761,0.3082,1.0,141,1.41
1.0293,0.081,High-Speed Parallel,low,0.9,0.25,0.95,0.6187,0.3322,0.1201,0.0044,100,1.0
0.6105,0.9934,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,0.2713,188,1.88
0.3523,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.1235,0.3396,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.6708,0.5155,0.1625,0.0375,100,1.0
